1000;DEPOSIT;20/01/2020 22:35:32;100.00
1000;LOAN;20/01/2020 22:35:32;300.00;360.00;3;0;120.00
1000;DEPOSIT;22/01/2020 22:35:03;300.00
1000;DEPOSIT;23/01/2020 20:25:36;400.00
1001;TRANSFER;22/01/2020 22:35:03;307.00;300.00;1000
1001;LOAN;22/01/2020 22:35:57;400.00;480.00;3;0;160.00
1001;DEPOSIT;22/01/2020 22:36:26;300.00
1001;DEPOSIT;23/01/2020 20:04:53;1000.00
1001;WITHDRAW;23/01/2020 20:05:02;203.00
1001;TRANSFER;23/01/2020 20:25:36;408.00;400.00;1000
1001;DEPOSIT;27/01/2020 22:28:21;1500.00
1001;DEPOSIT;28/01/2020 19:38:21;50.00
1002;DEPOSIT;27/01/2020 22:27:58;5000.00
1002;TRANSFER;27/01/2020 22:28:21;1508.00;1500.00;1001
1002;LOAN;27/01/2020 22:28:47;1000.00;1220.00;3;0;406.67
1003;DEPOSIT;28/01/2020 19:37:44;100.00
1003;TRANSFER;28/01/2020 19:38:21;60.00;50.00;1001
1003;WITHDRAW;28/01/2020 19:38:43;13.00
1003;DEPOSIT;28/01/2020 19:38:55;1500.00
1003;LOAN;28/01/2020 19:39:46;1000.00;1200.00;3;0;400.00
